240,428,400,444
426,554,586,589
240,814,613,852
426,493,613,556
640,432,800,453
560,757,613,775
640,739,746,760
240,487,373,500
240,513,373,530
240,541,373,557
640,781,773,833
240,754,426,813
640,539,800,556
640,511,800,529
640,456,800,470
640,562,773,583
640,702,800,717
640,600,773,614
400,819,613,848
640,614,800,632
640,485,800,501
213,690,586,723
640,673,773,689
560,727,800,743
213,665,586,689
213,617,373,633
213,595,586,621
213,635,560,661
213,457,346,472
213,562,373,582
